_link,id,tag,date,ocid,Payment Mode,initiationType,fiscal_year,buyer_name,tender_id,tender_stage,tender_title,tender_allowTwoStageTender,tender_status,tender_submissionMethodDetails,tender_procurementMethod,tender_mainProcurementCategory,tender_contractType,tender_numberOfTenderers,tender_datePublished,tender_allowPreferentialBidder,tender_externalReference,tender_value_amount,tender_bidOpening_date,tender_tenderPeriod_durationInDays,tenderclassification_description
id-13.453,ocds-kjhdrl-2018_BoTC_8307_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8307_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8307_1,Technical Evaluation,Construction of Boundary Wall at Protection Office,No,NA,NA,Open Tender,Works,Works,2,2018-08-24 15:00:00,No,HFD_104_2,3365981,06-09-2018 11:00,180,Civil Works
id-13.454,ocds-kjhdrl-2018_BoTC_8303_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8303_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8303_1,Technical Evaluation,CRD/2018-19/1,No,NA,NA,Open Tender,Works,Item Rate,2,2018-08-24 10:30:00,No,CRD/1 of 2018-19,2475525,31-08-2018 16:30,180,Civil Works
id-13.455,ocds-kjhdrl-2018_BoTC_8354_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8354_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8354_1,Financial Evaluation,Supplying and launching of RCC Porcupine at erosion affected areas of the tributary wise  under Baksa WR Division Udalguri Sub Division.,No,NA,NA,Open Tender,Works,Item Rate,2,2018-08-27 10:30:00,No,DPRD/BTC/SOPD-3/2018/Pt-I/43/4,29965153,10-09-2018 14:00,180,Civil Works
id-13.456,ocds-kjhdrl-2018_BoTC_8416_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8416_1,Offline,tender,2017-2018,Bodoland Territorial Council,2018_BoTC_8416_1,Technical Bid Opening,CRD/2018-19/6,No,NA,NA,Open Tender,Works,Item Rate,0,2018-01-09 10:30:00,No,CRD/2 of 2018-19,2673269,17-09-2018 11:30,180,Civil Works
id-13.457,ocds-kjhdrl-2018_BoTC_8425_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8425_1,Offline,tender,2017-2018,Bodoland Territorial Council,2018_BoTC_8425_1,Financial Evaluation,SOPD(CD)28 of 2018-19,No,NA,NA,Open Tender,Works,Works,3,2018-03-09 9:00:00,No,"No. BTC/CD-192/2017-18/3, Dtd.10/07/2018",9554455,10-09-2018 17:30,120,Civil Works
id-13.458,ocds-kjhdrl-2018_BoTC_8483_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8483_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8483_1,AOC,"Construction of proposed D.C. Residence at Kokrajhar including brick boundary wall, Car Parking, Security Barrack at Kokrajhar.",No,NA,NA,Open Tender,Works,Item Rate,3,2018-05-09 15:00:00,No,TN-109/3,6998423,25-09-2018 11:00,180,Civil Works
id-13.459,ocds-kjhdrl-2018_BoTC_8539_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8539_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8539_1,AOC,"Metalling and Black Topping work from Bhutan Khuti to Maina Pukhuri road Ch 0.00 to 3.00 KM with 25.00 M RCC Bridge 2 Nos. for Rs. 470.00 lakh, Phase II for Rs.47.00 lakhs.",No,NA,NA,Open Tender,Works,Item Rate,2,2018-10-09 14:00:00,No,TN-215/1,4140947,21-09-2018 11:00,180,Civil Works
id-13.460,ocds-kjhdrl-2018_BoTC_8644_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8644_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8644_1,AOC,Construction of RCC Office Building ground floor (With two storied provision) of Balajan S.S. Ltd. in Kokrajhar District.,No,NA,NA,Open Tender,Works,Item Rate,3,2018-09-15 15:30:00,No,TN-110/1,5218300,04-10-2018 11:00,180,Civil Works
id-13.461,ocds-kjhdrl-2018_BoTC_8663_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8663_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8663_1,Technical Evaluation,CRD/2018-19/12,No,NA,NA,Open Tender,Works,Item Rate,2,2018-09-15 16:30:00,No,CRD/3 of 2018-19,2616501,29-09-2018 11:30,180,Civil Works
id-13.462,ocds-kjhdrl-2018_BoTC_8698_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_8698_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_8698_1,AOC,Repairing/Renovation of Existing Govt. Building /Staff Barrack / Quarter,No,NA,NA,Open Tender,Works,Works,2,2018-09-21 10:30:00,No,Forest/WL/02/2018-19,3306400,06-10-2018 16:30,180,Civil Works
